動物編號,動物別,動物性別,動物品種,動物年齡,動物體型,動物體重,是否結紮,施打疫苗,晶片號碼,犬牌號碼,進所日期,日期,圖片
104-0511,,其他,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143289172656510.jpg
104-0510,,其他,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143289164644920.jpg
104-0509,,其他,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143289159223800.jpg
104-0508,,公,混種,幼年,中型,9kg以下,否,狂犬疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143288848921930.jpg
104-0507,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143288842353600.jpg
104-0505,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143288814573030.jpg
104-0503,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143288206187500.jpg
104-0502,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-29,2015-05-29,http://puppy.hccg.gov.tw/uploads/143288165693000.jpg
104-0500,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-31,2015-05-28,http://puppy.hccg.gov.tw/uploads/143279185239950.jpg
104-0499,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-28,2015-05-28,http://puppy.hccg.gov.tw/uploads/143279173939330.jpg
104-0498,,母,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-27,2015-05-27,http://puppy.hccg.gov.tw/uploads/143271714421540.jpg
104-0497,,公,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-27,2015-05-27,http://puppy.hccg.gov.tw/uploads/143271707914780.jpg
104-0496,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-27,2015-05-27,http://puppy.hccg.gov.tw/uploads/143271700138950.jpg
104-0493,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263510042000.jpg
104-0492,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263502360720.jpg
104-0491,,公,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263493565130.jpg
104-0489,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263475628550.jpg
104-0488,,公,純種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263465466640.jpg
104-0487,,公,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263456821940.jpg
104-0486,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-26,2015-05-26,http://puppy.hccg.gov.tw/uploads/143263449546900.jpg
104-0484,,母,混種,成年,小型,9kg以下,否,無,無,無,2015-05-25,2015-05-25,http://puppy.hccg.gov.tw/uploads/143254447678790.jpg
104-0481,,公,混種,成年,中型,9~22kg,其他,狂犬疫苗,158097066827320,無,2015-05-25,2015-05-25,http://puppy.hccg.gov.tw/uploads/143254329044210.jpg
104-0480,,母,混種,成年,小型,9kg以下,是,狂犬疫苗,無,無,2015-05-25,2015-05-25,http://puppy.hccg.gov.tw/uploads/143253493725770.jpg
104-0479,,母,混種,成年,中型,9~22kg,否,無,無,無,2015-05-25,2015-05-25,http://puppy.hccg.gov.tw/uploads/143252384584240.jpg
104-0477,,母,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-22,2015-05-22,http://puppy.hccg.gov.tw/uploads/143227289028050.jpg
104-0472,,母,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-21,2015-05-21,http://puppy.hccg.gov.tw/uploads/143219984631860.jpg
104-0465,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-21,2015-05-21,http://puppy.hccg.gov.tw/uploads/143218219383110.jpg
104-0462,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-20,2015-05-21,http://puppy.hccg.gov.tw/uploads/143217682332040.jpg
104-0458,,公,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-20,2015-05-21,http://puppy.hccg.gov.tw/uploads/143217614584440.jpg
104-0456,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-19,2015-05-19,http://puppy.hccg.gov.tw/uploads/143202843978030.jpg
104-0452,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-18,2015-05-18,http://puppy.hccg.gov.tw/uploads/143193925425040.jpg
104-0451,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-18,2015-05-18,http://puppy.hccg.gov.tw/uploads/143192582996310.jpg
104-0439,,公,混種,幼年,中型,9kg以下,否,狂犬疫苗,無,無,2015-05-14,2015-05-15,http://puppy.hccg.gov.tw/uploads/143165934111510.jpg
104-0428,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-13,2015-05-13,http://puppy.hccg.gov.tw/uploads/143149378737850.jpg
104-0427,,公,混種,幼年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-13,2015-05-13,http://puppy.hccg.gov.tw/uploads/143149370456710.jpg
104-0425,,母,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-12,2015-05-13,http://puppy.hccg.gov.tw/uploads/143149353152580.jpg
104-0424,,公,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-12,2015-05-13,http://puppy.hccg.gov.tw/uploads/143149326333210.jpg
104-0423,,母,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-12,2015-05-13,http://puppy.hccg.gov.tw/uploads/143149313872590.jpg
104-0422,,母,混種,幼年,小型,9kg以下,否,綜合疫苗,無,無,2015-05-12,2015-05-13,http://puppy.hccg.gov.tw/uploads/143149414017240.jpg
104-0418,,母,混種,幼年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-12,2015-05-13,http://puppy.hccg.gov.tw/uploads/143148953411530.jpg
104-0412,,母,純種,成年,大型,9kg以下,其他,狂犬疫苗,無,無,2015-05-11,2015-05-13,http://puppy.hccg.gov.tw/uploads/143148865562140.jpg
104-0409,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-07,2015-05-08,http://puppy.hccg.gov.tw/uploads/143104707193740.jpg
104-0408,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-07,2015-05-08,http://puppy.hccg.gov.tw/uploads/143104701282520.jpg
104-0407,,母,混種,成年,中型,9~22kg,否,無,無,無,2015-05-07,2015-05-08,http://puppy.hccg.gov.tw/uploads/143104693645390.jpg
104-0406,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-07,2015-05-08,http://puppy.hccg.gov.tw/uploads/143104686147410.jpg
104-0397,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-06,2015-05-07,http://puppy.hccg.gov.tw/uploads/143096002056150.jpg
104-0388,,公,混種,幼年,中型,9kg以下,是,狂犬疫苗,無,無,2015-05-05,2015-05-06,http://puppy.hccg.gov.tw/uploads/143088277425980.jpg
104-0384,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-05-31,2015-05-04,http://puppy.hccg.gov.tw/uploads/143071273114930.jpg
104-0383,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-05-01,2015-05-04,http://puppy.hccg.gov.tw/uploads/143071264042990.jpg
104-0382,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-01,2015-05-04,http://puppy.hccg.gov.tw/uploads/143071255072580.jpg
104-0381,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-05-01,2015-05-04,http://puppy.hccg.gov.tw/uploads/143071246147590.jpg
104-0373,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-28,2015-04-29,http://puppy.hccg.gov.tw/uploads/143027201024940.jpg
104-0372,,母,混種,成年,小型,9kg以下,是,無,無,無,2015-04-28,2015-04-29,http://puppy.hccg.gov.tw/uploads/143027190651010.jpg
104-0367,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-27,2015-04-27,http://puppy.hccg.gov.tw/uploads/143011237664440.jpg
104-0366,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-24,2015-04-24,http://puppy.hccg.gov.tw/uploads/142986376355790.jpg
104-0365,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-24,2015-04-24,http://puppy.hccg.gov.tw/uploads/142986369519060.jpg
104-0361,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-22,2015-04-22,http://puppy.hccg.gov.tw/uploads/142969650333110.jpg
104-0350,,公,混種,成年,小型,9kg以下,是,狂犬疫苗,無,無,2015-04-21,2015-04-22,http://puppy.hccg.gov.tw/uploads/142968416714290.jpg
104-0335,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-21,2015-04-22,http://puppy.hccg.gov.tw/uploads/142968201786510.jpg
104-0328,,公,混種,成年,小型,9kg以下,是,狂犬疫苗,無,無,2015-04-17,2015-04-18,http://puppy.hccg.gov.tw/uploads/142931958142280.jpg
104-0326,,母,混種,成年,小型,9kg以下,是,狂犬疫苗,無,無,2015-04-17,2015-04-17,http://puppy.hccg.gov.tw/uploads/142925447222010.jpg
104-0315,,公,混種,成年,小型,9kg以下,是,狂犬疫苗,無,無,2015-04-15,2015-04-16,http://puppy.hccg.gov.tw/uploads/142915537672270.jpg
104-0312,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-13,2015-04-13,http://puppy.hccg.gov.tw/uploads/142891356463020.jpg
104-0309,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-10,2015-04-10,http://puppy.hccg.gov.tw/uploads/142863675883120.jpg
104-0308,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-10,2015-04-10,http://puppy.hccg.gov.tw/uploads/142863669194250.jpg
104-0307,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-04-09,2015-04-09,http://puppy.hccg.gov.tw/uploads/142855285715840.jpg
104-0294,,母,混種,成年,中型,9~22kg,是,狂犬疫苗,無,無,2015-04-02,2015-04-03,http://puppy.hccg.gov.tw/uploads/142803090455680.jpg
104-0291,,公,混種,成年,大型,23kg以上,否,狂犬疫苗,無,無,2015-04-02,2015-04-03,http://puppy.hccg.gov.tw/uploads/142803057216780.jpg
104-0265,,母,混種,成年,小型,9kg以下,是,狂犬疫苗,無,無,2015-03-25,2015-03-25,http://puppy.hccg.gov.tw/uploads/142727571980440.jpg
104-0259,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-20,2015-03-21,http://puppy.hccg.gov.tw/uploads/142691604620960.jpg
104-0257,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-19,2015-03-19,http://puppy.hccg.gov.tw/uploads/142676257836460.jpg
104-0241,,母,混種,成年,中型,9kg以下,否,狂犬疫苗,無,無,2015-03-18,2015-03-18,http://puppy.hccg.gov.tw/uploads/142666984957860.jpg
104-0239,,母,混種,成年,中型,9~22kg,是,狂犬疫苗,無,無,2015-03-17,2015-03-17,http://puppy.hccg.gov.tw/uploads/142658153477010.jpg
104-0234,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-17,2015-03-17,http://puppy.hccg.gov.tw/uploads/142658078598270.jpg
104-0233,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-16,2015-03-16,http://puppy.hccg.gov.tw/uploads/142649353789650.jpg
104-0228,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-16,2015-03-16,http://puppy.hccg.gov.tw/uploads/142648574961360.jpg
104-0223,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-03-13,2015-03-13,http://puppy.hccg.gov.tw/uploads/142623823665730.jpg
104-0218,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,900108001403520,無,2015-03-12,2015-03-12,http://puppy.hccg.gov.tw/uploads/142614749378980.jpg
104-0213,,母,混種,成年,中型,9~22kg,是,狂犬疫苗,965000000275379,無,2015-03-11,2015-03-11,http://puppy.hccg.gov.tw/uploads/142606537611320.jpg
104-0208,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-03-10,2015-03-10,http://puppy.hccg.gov.tw/uploads/142597823840770.jpg
104-0197,,母,混種,成年,中型,9~22kg,是,狂犬疫苗,無,無,2015-03-07,2015-03-07,http://puppy.hccg.gov.tw/uploads/142570055224520.jpg
104-0190,,公,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-05,2015-03-05,http://puppy.hccg.gov.tw/uploads/142552843847030.jpg
104-0182,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-03,2015-03-03,http://puppy.hccg.gov.tw/uploads/142537324413370.jpg
104-0176,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-03-03,2015-03-03,http://puppy.hccg.gov.tw/uploads/142535626624190.jpg
104-0174,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-03-02,2015-03-02,http://puppy.hccg.gov.tw/uploads/142528761375210.jpg
104-0171,,公,混種,成年,中型,9~22kg,否,無,無,無,2015-02-25,2015-02-25,http://puppy.hccg.gov.tw/uploads/142484403167560.jpg
104-0169,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-02-24,2015-02-24,http://puppy.hccg.gov.tw/uploads/142476026734010.jpg
104-0159,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-02-13,2015-02-13,http://puppy.hccg.gov.tw/uploads/142379947919190.jpg
104-0158,,公,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-02-13,2015-02-13,http://puppy.hccg.gov.tw/uploads/142379900613010.jpg
104-0155,,公,混種,幼年,迷你,9kg以下,否,綜合疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142372708493490.jpg
104-0154,,母,混種,幼年,中型,9kg以下,否,綜合疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142372702221940.jpg
104-0151,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142371991869090.jpg
104-0150,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-12,2015-02-12,http://puppy.hccg.gov.tw/uploads/142371985216070.jpg
104-0149,,母,混種,幼年,中型,9kg以下,否,狂犬疫苗,無,無,2015-02-11,2015-02-11,http://puppy.hccg.gov.tw/uploads/142364019441250.jpg
104-0146,,母,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-10,2015-02-10,http://puppy.hccg.gov.tw/uploads/142353916082050.jpg
104-0144,,母,混種,成年,中型,9~22kg,否,狂犬疫苗,無,無,2015-02-10,2015-02-10,http://puppy.hccg.gov.tw/uploads/142353903043550.jpg
104-0138,,母,混種,幼年,中型,9kg以下,否,無,無,無,2015-02-06,2015-02-06,http://puppy.hccg.gov.tw/uploads/142320926612050.jpg
104-0135,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-06,2015-02-06,http://puppy.hccg.gov.tw/uploads/142318973562240.jpg
104-0134,,母,混種,幼年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-05,2015-02-05,http://puppy.hccg.gov.tw/uploads/142310630186690.jpg
104-0132,,公,混種,成年,小型,9kg以下,否,狂犬疫苗,無,無,2015-02-05,2015-02-05,http://puppy.hccg.gov.tw/uploads/142310616319010.jpg
